expression,force,flavor,can_express,lexical,polarity,syntactically_negated,full_form,notes
yexu,weak necessity,teleological,?,,positive,no,yexu,
yexu,weak,epistemic,1,,positive,no,yexu,
yexu,weak,deontic,?,,positive,no,yexu,
yexu,weak,teleological,?,,positive,no,yexu,
yexu,weak,circumstantial,?,,positive,no,yexu,
neng,strong,epistemic,?,,positive,no,neng,chinese character: 能
neng,strong,deontic,?,,positive,no,neng,
neng,strong,teleological,?,,positive,no,neng,
neng,strong,circumstantial,?,,positive,no,neng,
neng,strong,bouletic,?,,positive,no,neng,
neng,weak necessity,epistemic,?,,positive,no,neng,
neng,weak necessity,deontic,?,,positive,no,neng,
neng,weak necessity,teleological,?,,positive,no,neng,
neng,weak,epistemic,?,,positive,no,neng,
neng,weak,deontic,1,,positive,no,neng,
neng,weak,teleological,?,,positive,no,neng,
neng,weak,circumstantial,1,,positive,no,neng,
